Age . Location,Bio,Agree,Disagree,Find Out,Ques_Ans,Label
27 • Bengaluru,"Nothing more exciting than meeting new people, hearing their stories, being inspired🌸

I am not here for,

🚫booze,smoke
🚫hookups
🚫Relationship
🚫Datings
🚫FWB

P.s. People who try to judge me based on these, better stay away rather wasting ur time🤘

Here to connect with genuine and interesting souls💫",18,9,1,28,Ok
26 • Bengaluru,Rule 🤔 what is that?,61,42,80,183,Ok
26 • Pune,"It may look like I'm doing nothing, but in my head I'm quite busy. 😇😇😇",52,28,17,97,Ok
28 • Pune,I would describe myself as an open and honest person. I believe in simple life. Small things matters me lot.Small caring make me feel good.,17,17,2,36,Ok
25 • Pune,"You can have RESULTS or EXCUSES, not both.",6,9,0,15,Ok
22 • Vishākhapatnam,Looki,5,10,3,18,Ok
23 • Chennai,"I have completed my course in baking just waiting to write my exam I also take cake order from home I love animals like dog and other animal and travel a lot and love nature my hobbies are swimming listening to music and spend time with my dog
Enjoy travel and explore new place and learn to culture of different love looking at different paintings",50,53,144,247,Ok
24 • Chennai,"A dreamer, eyes on sky; feet immersed in waves always. Values beauty and sees beauty in the smallest mundane things who searches for someone who would love me beyond them. My first love ? Undoubtedly Sea, whispering through breeze and making be feel better at every down times by its touch of soothing waves.",22,7,70,99,Ok
19 • Chennai,"Hi , I'm shalini and I am here to meet new people. I am a carefree girl but at the same time I do care for the people I love the most. I'm not really good at breaking the ice , so it's up to you.can't see likes so message me in instagram if not no prob snap me #carefree #introvertInsta Id: shalini kottavalasa 👻: Sydneyknight11",73,16,284,373,Ok
28 • Bhilai,Hi all lovly boys msg me teIegram l d pallaviw,7,8,0,15,Fake
26 • Benaulim,You would find me in a tiny coffee shop at the corner table enjoying my coffee with a slice of red velvet cake and my book on a sunday afternoon. Come and say Hi? ;),8,7,0,15,Ok
24 • Vichumbe,Not an A-lister. Text me. Not here for hookups either. Don't waste your energy if looking for a hook-up. Good luck,24,9,1,34,Ok
24 • Koparpāda,Just Exploring,9,18,3,30,Ok
24 • Villupuram,I'm all about Ghibli films and Ramen 👀❤️,19,19,4,42,Ok
26 • Mānkhurd,Grace,9,4,2,15,Low Info
27 • Thāne,Will describe later,26,15,4,45,Ok
23 • Puducherry,Be true in yourself,47,41,64,152,Ok
24 • Mumbai,What do we love ?,5,10,0,15,Ok
20 • Mumbai,Happy lil thang and a traveller✨,11,21,2,34,Ok
25 • Mumbai,Inscrutable and Liberal,45,44,353,442,Ok
25 • Mumbai,"An engineer working in Bangalore.
Let's see if I could find someone who's worth having!!!

PS: It could be even a good friend (just an FYI☺️)",51,16,42,109,Ok
24 • Mumbai,"Honest 🔥 Be a girl with nature 👑, be a lady with class, and a bitch with attitude.🖤🦁. Don't Get My Personality And My Attitude Twisted, Because My Personality Is ME, And My Attitude Depends On You! I'm a humble person, I don't have an attitude problem, you have a perception problem.🖤",55,59,184,298,Ok
23 • Mumbai,"Nm active here
Contact on Instagram - reach2shruti",7,6,2,15,Low Info
28 • Mumbai,Sweet with a bit of spice 😉 an introvert but only till the time you know me,7,11,0,18,Ok
26 • Mumbai,"- IG is hannamonsoon
- Ukrainian living in India before the war
- I don’t talk about work
- Not here for hookups or sexting
- I am an adult with a busy life and work. I unmatch for nonsense. Don’t ask me “what’s up” or anything like that. Let’s actually get to know each other or don’t waste the time",12,5,3,20,Ok
23 • Mumbai,"Can't see like so msg me here.
And don't ask for no. Bcoz I won't give and people looking for hookups plz swipe left.",37,41,9,87,Ok
24 • Mumbai,.,93,22,141,256,Ok
26 • Mumbai,"No drama please 🙏🏻
So it's gonna be forever, or it's gonna go down in flames 😅
**I live in India but my location might say otherwise",77,35,212,324,Ok
19 • Mumbai,"ig notmimicoco hmu so we can vibe
kinda traveling through this app lol",1,5,0,6,Ok
25 • Mumbai,Patient. Sensitive. Polite.,94,20,7,121,Ok
27 • Mumbai,..,28,12,0,40,Ok
28 • Mumbai,.,9,6,0,15,Low Info
25 • Mumbai,"I am simple person and looking for simple person to have good and meaningful conversations.
I dont believe in uploading cute and nice pictures just to attract someone. Because someone should like you for being you not they way you look or the way of life style you have.
I do have youtube channel",23,22,2,47,Ok
26 • Mumbai,Dance lover | kind | music | fun loving,5,9,0,14,Ok
24 • Mumbai,"I’m a workaholic and highly ambitious.!
So if you understand that well and don’t behave typically I’ll adore the floor you walk on.!

Insta- gauri.tambat",55,60,17,132,Ok
25 • Mumbai,"Introvert by choice, extrovert by chance (courtesy, work).

They key(s) to my heart are good food, music, cat/dog videos, 90s and 2000 Bollywood, dad jokes, books, long walks, mountains, poetries, sky-gazing, grocery shopping... the list goes on.

Review by a friend: She never replies on time, hates getting on calls, is busy clicking the skies whenever we're out, cracks us up with her dad jokes' collection, and is busy sleeping on her off days.

TLDR? Okay then! 🌚",19,13,3,35,Ok
21 • Mumbai,Soon to be Dr,5,5,0,10,Low Info
27 • Mumbai,"I am fun loving girl, want to make frnds with whom I can chill out and talk to my heart.

I haven't uploaded my pic ..as I don't find it necessary to show yourself first for making any relationship. So please don't ask for it.

Connect to know more",11,7,1,19,Ok
22 • Mumbai,We all end up in the same place.,7,8,0,15,Ok
23 • Mumbai,Honesty is the only thing I want,29,32,3,64,Ok
23 • Mumbai,Simple and Descent!,16,7,1,24,Ok
26 • Mumbai,always shine,21,25,5,51,Ok
21 • Mumbai,"Well I'm looking for some simple, kind people to be friends with.

Maybe we could watch anime together sometimes",14,4,0,18,Ok
20 • Mumbai,"Music 🎶
Games🎮
Overthinker 🤔
Introvert😶
Follow me on instagram: _whaline_52",6,10,1,17,Ok
23 • Mumbai,Good nature good behaviour,5,10,0,15,Ok
25 • Mumbai,I am looking forward to a beautiful journey of minds and faith.I am interested in artistic minded people.I want to be a researcher and more inclined towards logic than emotion,67,48,235,350,Ok
24 • Mumbai,..,58,24,11,93,Ok
28 • Mumbai,"One of introverts who talk alot🌼. Busy has hell due to my permanent job overthinking😅. Personality is as jumbled as my playlist, not everyone can keep up.",80,23,595,698,Ok
24 • Mumbai,"Fun loving
Foodie
Little wierdo and shy🙃",47,16,23,86,Ok
21 • Hyderābād,Ig - ohnoashi,5,10,0,15,Fake
19 • Mumbai,hi i am Kohinoor,4,11,0,15,Low Info
27 • Mumbai,:D,8,7,0,15,Low Info
21 • Mumbai,"let’s be friends I guess
Instagram @mishtisen",12,5,0,17,Ok
28 • Mumbai,"I love to live simple life, i m looking for someone who can understand me respect me n my family. i want partner who treat me like a frnd . Looking for love, respect, trust, loyalty, simplicity, who find happiness in small things, i m mumma's girl❣️❣️",47,27,36,110,Ok
26 • Mumbai,"Doctor by profession. Sports Enthusiast.
DM to know about me more :)",7,8,1,16,Ok
25 • Mumbai,"I like my partner the way i like my coffee. So swipe right if you're hot and bitter.
Instagram :-itsmearifaa",8,7,0,15,Ok
25 • Jagdalpur,Just looking for someone to talk Dont't ask for app switch or pics.,4,9,2,15,Ok
23 • Mangalore,Getting a smile on someone's face can make you happy too😀,10,5,1,16,Ok
23 • Mangalore,happy ever after do exist,8,7,0,15,Ok
22 • Mangalore,,9,6,0,15,Low Info
23 • Virār,"I think I am bold but deep down I am shy as f, I think I am practical but deep down I am hopeless romantic as well, So overall a combo personality who likes to Read and Savor her coffee....",29,10,3,42,Ok
25 • Indore,Nothing,5,9,1,15,Low Info
26 • Indore,looking for something substantial.,4,11,0,15,Ok
26 • Indore,I am simple girl.,4,8,3,15,Ok
26 • Indore,"I am self independent, outgoing, fun loving, honest..",6,9,0,15,Ok
23 • Indore,"Hello everyone.
I'm shilpi Tiwari from prayagraj.
Don't confuse ki location alg Q hai .
Allahabad se hu but location type krke daale skte h islea all alg daale dete h, just for fun😎😎.",13,14,0,27,Ok
23 • Indore,"mellow and optimistic
pisces
budding dentist",8,8,2,18,Ok
26 • Jabalpur,"Engineer by profession extremist by nature!
🍀",17,7,0,24,Ok
25 • Jabalpur,"I am a woman of trans experience. I work as an academic editor for a Netherlands-based company and live in Jabalpur. I'm looking for a leftist, feminist, emotionally healthy grown-up (aged above 24). Although I'm fluent in Hindi, English is my primary language of thought and communication, so you MUST speak English well.

I'm 5'8 and make a six-figure income, so someone similar would be nice. I'm a practicing Chhayavad poet, and I can talk about Chhayavad poetry for hours. If I could go back in time, I'd like to meet Mahadevi Varma.

Political leaning and opinions matter to me, so if you're a BJP voter (moderate, apolitical, conservative), please do us both a favor and swipe left. If you're not an intersectional feminist, swipe left. If you don't support LGBTQ rights - yep, you guessed it - swipe left.

IMPORTANT: Ego, BJP voters/rightwingers, or ""hey/hi/you're beautiful"" in the intro = instant unmatch.",64,21,38,123,Ok
26 • Bhopāl,"WON'T SHARE MY PH NO./ PICS/VIDEO CALLS/MEETINGS/S**/DATINGS
LOOKING FOR GOOD CONVERSATIONS. KEEP YOUR OPINIONS ABT ME TO YOURSELVES... THERE R BETTER THINGS TO INVEST UR TIME IN!!! NO BULLSHIT PLZ!

Honest, straight forward, free spirit, open minded, funny, equality, talkative, temperamental, intellectual, headstrong, rebellion, now or never, old soul, one of a kind, passionate, heart over mind, authentic.",59,60,855,974,Ok
24 • Bhopāl,Like sensible talks....Simplicity is my style......Wanna travel as much as i can... loves to explore new places....#iamtravelfreak,19,14,2,35,Ok
22 • Damān,22 | Dentist | Ambivert,57,31,16,104,Ok
26 • கோயம்பத்தூ,Ambivert | Independent | Enthusiastic | Loves Books | Mountains ; Beaches | Music | Movies | Literature | Science | Travel | And much more,11,5,1,17,Ok
25 • Sūrat,"Assistant Manager at a Bank.
An ambitious girl with love for Music, Dancing and Reading. Career - oriented.
Fond of learning new things.",7,7,1,15,Ok
26 • Sūrat,Simply Complicated,8,7,0,15,Ok
28 • Agra,"Simple & caring..

Dont like/match if u r looking for hookup
I repeat... DO NOT !!",86,29,116,231,Ok
21 • Hyderābād,8696117811 my whatsapp number,15,5,2,22,Fake
21 • Nānded,Hey i am single new friendship my WhatsApp number is 9178158273 only WhatsApp Messege com dear 🥰🥰🥰🥰🥰🥰🥰🥰,3,12,0,15,Fake
22 • Delhi,"Trolls do not matter!

Instagram: voluptuous_lady
(I will try to reply asap!)

www.confessout.com/Cherry_07
(You can speak your heart out.)

Engineer 👩‍💻
Dancer 💃
Swimmer 🏊🏻‍♀️
Theatre 🎭
Cooking 🧑‍🍳

I believe everything happens for a reason!❤️
Very particular about my grammar. 🖊
Hate only one thing about anyone, ‘hypocrisy’.

. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",6,10,0,16,Ok
28 • Hyderābād,"hey hi!!
my self srividya, I am a fashion designer",6,9,0,15,Ok
24 • Thrissur,Tell me why I make you as my friend???what is your quality ? .nurse here to find some chill friendly friends..come lets know each other and go with the flow..I will do injection to you if you angry on me...join me lets make this small life more chill and happy ...,9,10,4,23,Ok
21 • Mumbai,"I am the universe
Show some gratitude, faith , hope and love <3",9,10,4,23,Ok
23 • Utnūr,"I @ᗰ TᕼE ᗷE$T OᑎE ᗩᒪᗯᗩY$
ᑭIᑎG ᗰEᕼ Oᑎ ᗰᗩᕼᕼ $$ᗩᑭᑭ
ᑎIᑎE TᕼᖇEE $I᙭ $I᙭ $I᙭ TᕼᖇEE EIGᕼT $I᙭ ᖴIᐯE ᘔEᖇO
ᑕOᑎTᗩᑕT $OOOOOᑎ",3,12,0,15,Fake
23 • Hyderābād,Online sarvice available,2,13,0,15,Fake
23 • Hyderābād,my WhatsApp number 9674854764,3,12,0,15,Fake
22 • Hyderābād,Hey there.. looking out for new friends...impress me with ur sense of humour💗,6,9,0,15,Ok
21 • Mumbai,"Not a summer adventure am a forever thing 💜

Ping me on Instagram will ya ❤️🥰-@fromfar_beyond",7,8,0,15,Ok
20 • Hyderābād,"Not a fan of self description
I call myself an ambivert
brown girl
Telugu ammai
I can binge watch for 10 hours straight 😌",74,14,99,187,Ok
27 • Hyderābād,hello,5,10,0,15,Low Info
19 • Undi,Love,3,10,2,15,Low Info
24 • Hyderābād,"Chill person

YOLO✨",10,11,1,22,Ok
24 • Bengaluru,"INTJ

Homebody who loves to chill and live the good life.

Foodie, Marvel, K-Pop, B99 and Pop music fan.",0,0,0,0,Ok
23 • Sūrat,lnssstgrmmm - aanchal.97,5,10,0,15,Low Info
27 • Hyderābād,Calm going,87,35,110,232,Ok
27 • Hyderābād,"hi guys 🤪
I'm harini 😘
meet up -fun- online fun available
100% satisfying 🥒💦
intrested guys DM ⌨️

**catch me on instagram : akshu_akki",7,8,0,15,Fake
22 • Delhi,Low-key,6,8,1,15,Low Info
23 • Hyderābād,hy I'm Priyanka if you want to join me than text me my whatsapp number 9358341722,6,9,0,15,Fake
20 • Hyderābād,✨,7,8,0,15,Low Info
25 • Hyderābād,My self pravalika searching for long term relationship,3,12,0,15,Ok
21 • Koch,Hey,4,11,0,15,Low Info
26 • Hyderābād,hi,6,9,0,15,Low Info
22 • Vijayawāda,Like my friend,4,11,0,15,Low Info
23 • Hyderābād,Hidden,3,12,0,15,Low Info
22 • Hyderābād,🙈,5,10,0,15,Low Info
26 • Hyderābād,Mmmm let's pass time having conversations.,5,9,1,15,Ok
26 • Hyderābād,"Software Engineer, hip hop dancer and a universe believer. 💫

Coffee| Rains | Nature | Long drives 💛
Foodie🍕🍔",25,10,4,39,Ok
23 • Hyderābād,"• An Introvert
• 6 ft tall
The rest is a mystery. 😂
Insta - rai_aai",8,11,0,19,Ok
28 • Hyderābād,myself priya,7,8,0,15,Low Info
23 • Hyderābād,....,5,10,0,15,Low Info
22 • Hyderābād,hi,1,14,0,15,Low Info
26 • Hyderābād,"anyone hang out with someone causally and get the earnings source
no any unsafe only descent guys

( eight, seven,nine four,zero
one, nine, four,4,,,8",2,13,0,15,Fake
23 • Hyderābād,figuring it out,3,9,3,15,Low Info
28 • Hyderābād,,5,11,0,16,Low Info
22 • Hyderābād,I want true relationship for lifetime trusted and genuine relationship,7,8,0,15,Ok
23 • Hyderābād,Nothing much,22,11,1,34,Ok
26 • Secunderābād,"I'm a simple girl... Introvert at heart. I'm a video editor by profession and a home baker in my free time.
When I'm not busy, I love spending time relaxing and listening to music.",15,8,3,26,Ok
28 • Gurgaon,Don't want to introduce myself😁,51,44,13,108,Ok
25 • Bengaluru,self love,6,9,0,15,Low Info
22 • Bengaluru,New here!!,8,7,0,15,Ok
26 • Bengaluru,Looking for my soulmate 💕,9,6,0,15,Ok
26 • Bengaluru,"ʜᴀʀᴅ ᴛᴏ ᴄᴀᴛᴄʜ, ᴇᴀꜱy ᴛᴏ ᴀᴛᴛʀᴀᴄᴛ
ʙᴇᴀᴄʜ ʟᴏᴠᴇʀ, ᴀʟᴡᴀyꜱ ᴜᴩ ꜰᴏʀ ɢᴏᴀ
87•68 |•×•| ꜱɪx ɴɪɴᴇ ꜰɪᴠᴇ ᴏɴᴇ |•×•| 07",2,13,0,15,Fake
27 • Kormangala,"I am actually looking for a genuine relationship. I am tired of saying no when my family asks me if i have someone in my life so I thought let me give it a try. People looking for hookups plz stay away. And plz don’t ask me what am i looking for, it’s very clear in my bio.",93,23,94,210,Ok
22 • Vishākhapatnam,He who loves has a lot to learn. Somebody wins in love. Somebody gets failure in love. Somebody gets cheated in love. One enjoys living in love. It doesn't mean that everyone in the world is useless.,7,8,0,15,Ok
21 • Chennai,Hi 9432879367 This is My Whatsapp number Msg Me There to Connect I Comfortable on Whatsapp,5,10,0,15,Fake
24 • Chennai,"I am a Delhite staying in Chennai for work and studies. Looking meaningful and long-term relationships.
Oh also can go from crazy to calm to crazy in mere seconds. Memes are my love language.",6,9,0,15,Ok
22 • Chennai,"Just a Girl who loves to explore new things ,new places😉 But wanted to end up with that one person only(None🤧) Because I believe distance can't change the Love ♥️

*Wanna make connections with people around the world.
*I'm looking for new friends outside my Country So that I can get to know more about their lifestyles, build some confidence too and if it is possible LOVE can happens too🙈",37,38,9,84,Ok
23 • Chennai,"I am an artist which helps to keep my thoughts out on that canvas .
Cooking helps me in my patience.
Music is life.
I love myself 😍.",67,33,83,183,Ok
28 • Mumbai,"Hi, I am a simple girl looking for serious relationship .I live in Maharashtra, India i just changed my location to find myself a good match.So if you are OK with long distance but genuine connection then only swipe right. I am honest ,loving , caring , kind of introvert and loyal kind of a person . I like cooking , Gardening, drawing and painting, going out with friends.I want someone who can be little different from me but the one who can understand me , as someone said ""The happiest couples never have the same characters. They have the best understanding of their differences.
Every women is like a fruit but the problem with some men are that they like fruit salad so those one who like fruit salad dont swipe right on me.",5,6,1,12,Ok
27 • Mumbai,"Floaty, Moody, Fire, Desire",36,9,15,60,Ok
24 • Mumbai,Just making friends,7,7,0,14,Low Info
25 • Mumbai,I am here just for making friends.,8,7,0,15,Low Info
24 • Indore,Its all about vibing,8,7,0,15,Ok
23 • Bhopāl,I am not using this app so much so you can message me on Insta my id is { Nikitabhalla.11 }💜💜,7,7,1,15,Fake
21 • Kottayam,Unique,8,9,0,17,Low Info
25 • Agra,"I am old fashioned sometimes. I still believe in romance, in roses, and in holding hands",38,27,41,106,Ok
25 • Ankleshwar,"Please I can't really share how my best friend describes me... I don't wanna get out from here😂 So why don't you make your own opinion!

And broooo plzzzzzz... Be DECENT!",26,12,0,38,Ok
25 • Bharūch,A fun loving hardworking Street smart person,19,16,5,40,Ok
22 • Vadodara,hiii,4,10,0,14,Low Info
23 • Vadodara,Foodie,13,6,2,21,Ok
26 • Vadodara,Follow ur heart ❤,5,10,0,15,Ok
27 • Vadodara,Ambivert. Part-Time Beginner Comic. Long Conversation with Chai are the must . Sarcasm appreciated.Genuine Laughters can be table-turners.,47,43,64,154,Ok
25 • Vadodara,"Big time bollywood buff
A lawyer in making ( it's a love hate relationship )
I may know more about you then you think I do 😌😉
Overthinking is my jam
Life goal : to settle in mountains
Love and Gratitude above anything
I appreciate cheesy lines, but not cheesy behaviour
Chandler and Monica over Ross and Rachel, change my mind if you can",39,17,40,96,Ok
25 • Gorwa,Only night talk and hook ups,10,5,0,15,Fake
24 • Thrissur,,11,6,0,17,Low Info
25 • Madurai,Humanity ❤️,35,25,47,107,Ok
25 • Khandagiri,Stay happy,7,13,3,23,Ok
24 • Bhubaneshwar,"Doctor-just completed my MBBS. Love making new friends. passionate about dancing. chocolate, good conversation and travelling is bliss.",30,10,5,45,Ok
27 • Bhubaneshwar,,46,45,148,239,Ok
25 • Bhubaneshwar,🙃,25,10,11,46,Low Info
23 • Bhubaneshwar,Let's c😉,7,7,1,15,Low Info
24 • Bhubaneshwar,"Chubby cheeks🥺
Curvy-Girl
Marwadi chori💅",17,10,3,30,Ok
27 • Bārang,introvert 🤦🤦🤦,63,15,34,112,Ok
27 • Kochi,Introvert turns out to a techy,10,5,0,15,Ok
23 • Bhuban,Foodie interesting,6,7,0,13,Low Info
27 • Ahmadābād,"If u feel we r right person to talk, go further..",8,7,0,15,Ok
24 • Ahmadābād,"Four things I could never do without:

Explore and travel
Coffee
Binge watching shows
Dancing

I'm open to trying new things in life and be sporty and adventurous! :)

More about me? I am myself not sure , I'm still getting to know myself better but yes I definitely like to expand my knowledge in all kind of areas! 😌

I love flowers 🌸🌷Haha!",31,25,24,80,Ok
21 • Ahmadābād,Simple girl and just want to spread happiness……………,7,9,1,17,Ok
26 • Ahmadābād,"Here for find a friend, live in ahmedabad",6,9,0,15,Ok
25 • Hyderābād,Ambivert bong❤️,7,8,0,15,Ok
25 • Mumbai,"when life give you lemons..use them wisely 😜

Goa girl.. exploring Bengal...

ps.. only here in OKC.. not gonna talk outta here 👐",8,7,0,15,Ok
27 • Ahmadābād,Queen 👑,14,7,1,22,Ok
25 • Ahmadābād,"I m Natasha
I m considered funny yet impatient by those who know me I have studied to be mbbs and currently working on my internship",13,8,3,24,Ok
26 • Ahmadābād,"My name is Lubna Naylor I'm an Indonesian. Studying in India.
My telegram ID is Lubna_Nay",5,10,0,15,Ok
28 • Ahmadābād,Hello..,5,9,1,15,Low Info
23 • Ahmadābād,"simplicity,,,,9723815415",6,9,0,15,Fake
19 • Ahmadābād,"Little brown girl with Big Dreams.

Free like a Butterfly 🦋
Pretty to see, hard to catch.

Not an active user.
Insta :- akshika_saini",25,22,11,58,Ok
20 • Nayāgarh,,11,10,2,23,Low Info
26 • Jhānsi,"Hi, I am Priyanka currently working in Jhansi, native place is Pune, Maharashtra. Also, I am a vitiligo girl.",6,8,0,14,Ok
20 • Alappuzha,"Me doing me.
(Not pun intended)",68,17,254,339,Ok
20 • Alappuzha,Looking for someone who is free to talk,8,7,0,15,Low Info
23 • Akola,"Don't bother messaging me if you are only looking for hookups. I like to be a free spirit. Some don’t like that, but that’s the way I am.I am like a butterfly: pretty to see and hard to catch. Life is like riding a bicycle. To keep your balance, you must keep moving",89,12,115,216,Ok
26 • Allahābād,sensitive 🥺,7,8,0,15,Low Info
25 • Rājkot,"Looking for a serious relationship. I am a computer engineer so of course, a guy should be educated.",10,5,0,15,Ok
21 • Rājsamand,"Creative,
Ambivert,
Reader,
IAF brat,
Peace lover 💖",56,13,23,92,Ok
26 • Gwalior,"Well, It's difficult to describe our own self but lemme try... So basically i am person who is looking for long term relationship and one more thing you should be adventurous by your choices like i can't be with the people's who are so damn boring and here boring doesn't mean serious no they both are different things you can be serious and adventurous at the same, I am a writer so i am little bit thinkist kind of person & if you are looking for some hookups kind of things then may be we guys are not for each other so at that condition you can swipe left, and if you want to have some long conversations then i am here for you i love to talk about life.....that's all for me and for more you need to have patience.",8,6,0,14,Ok
27 • Rānchī,"I don’t care about how different we’re, once I feel the connection, anything else that doesn’t matters 😇

Traveller ✈️ Dog Lover 🐕 Self Obsessed 🤩",27,13,4,44,Ok
26 • Rānchī,"Ok, I don't exactly know what to write here.
I feel like I am a chill person and I love spending time with myself.
Dogs and cats are the best creatures on this planet.
On a journey towards leading a better and a fit life.
I believe everything is beautiful if we look at it right :)",96,19,"1,117",1232,Ok
27 • Rānchī,#Gemini,91,28,38,157,Ok
23 • Nīlgiri,❤️😇,8,7,0,15,Low Info
25 • Sangrāmgarh,My life my rules.... N I'm freakingly rely on it.,24,34,35,93,Ok
22 • Thiruvananthapuram,😇 Happy soul✨,8,7,1,16,Ok
28 • Delhi,"Can't see likes...

- I'm a harmony and peace lover ✌️, curious explorer

- Love nature, good food, art, humanity, natural conversations, company of genuine and happy people. I like to find joy in little things but also explore the big stuff

- My ambitions are important for me in life, but real connections and like mindedness make space on their own...

- Stereotypes, negativity and dominance put me off... Sometimes permanently... I'm a free birdie... So not into customary society-fed picture of anything",51,14,47,112,Ok
25 • Ghāziābād,...,55,33,9,97,Ok
27 • Jaipur,"Computational linguist
I can't see 'like'
İg: @amaya_foodie
No Chat sex ❌ No hookups ❌
Subscribe my youtube channel: amaya foodie
https://youtu.be/nCWwohMvr8I
https://t.me/learnindonesianforforeigners
Feel free to join my channel ☺",26,27,1,54,Ok
24 • Jādabpur,"I'm very frndly and sweet my frnds says that and very cute also😊😊😊
I'm very foodie, talkative and moody
Bong girl from kolkata
I love to make new frnds 😀😀😀",58,29,40,127,Ok
28 • Hyderābād,"I'm here friendship, coz we cannot search for online friends in insta or fb...it's not dat easy.

Looking for a like minded person.
I donno wat went through my mind, just installed this.",9,6,0,15,Ok
27 • Hyderābād,joined this app to get new frds,6,9,0,15,Low Info
25 • Kothaguda,#introvert #oldschool,6,9,0,15,Ok
25 • Pune,Fashion design,8,14,2,24,Ok
27 • Hyderābād,ntg,7,8,0,15,Low Info
25 • Hyderābād,"Just bored, looking for fun",6,9,0,15,Low Info
24 • Hyderābād,my WhatsApp number 8453032098,3,12,0,15,Fake
25 • Hyderābād,"If you can't sleep at night, it's probably my fault. Sorry in advance.",8,7,0,15,Ok
28 • Kothaguda,"New in town, also lost the direction kindly give me map to get into your heart lol Do hit TELE-GRMid: DATTASHANA sorry now you can keep swiping on haha",8,7,0,15,Ok
24 • Kallakal,hey text me on my whatsapp 8200221518,3,12,0,15,Fake
23 • Gajwel,hy text me on my WhatsApp 9571155497,5,10,0,15,Fake
22 • Bengaluru,...,3,11,1,15,Low Info
27 • Chennai,"Simple and Caring soul
Fun to be around with
Nature lover
❤️❤️",7,5,0,12,Ok
26 • Goa,"First, I'm Kenyan 🇰🇪 based in Kenya. Changed location to meet awesome people like you ❤.

I'm a respectful, outspoken, jovial and simple lady, born and raised in Kenya whose full of positivity. I believe in God and He comes first in my life.

I'm here looking for love, that is something serious. I don't mind the distance because I know distance means nothing when someone means everything to you. Don't shy from sending me an intro or a sweet message once we match.

I've never been married before neither do I have kids but I want them. I'm ready to settle down thus if you're looking for a wife you're at the right place. Open for dates.

Lastly, I lost my job hence I'm currently not working but I hold a bachelors degree. So as not to stay idle and too independent, I started a YouTube channel. Kindly consider supporting me by subscribing to my channel;


Check out my first YouTube video here;-


Thanks in advance.",32,12,3,47,Ok
24 • Mumbai,"I just love making new friends
Only friends no relation",4,12,0,16,Ok
24 • Mumbai,🇮🇩🇮🇩🇮🇩,4,12,0,16,Low Info
23 • Kolkata,"Simple girl with an outdated thought 🤷‍♀️

HOOKUP OR CASUAL STUFF OR FWB is not my cup of tea☕

And also I don't prefer hanging out with any random person without letting my parents know 🤷‍♀️🤷‍♀️

Those who are here with fake profile kindlly stay away from me.....😒As I genuinely hate those people who pretend to be someone else...🙂",59,15,28,102,Ok
27 • Delhi,Life is the biggest lesson. I m not fond of ths app infact I never want to use ths type of app becuz I saw nd met many people in real with twin face including girls also.. So how can i blv here but sometimes I need to get over my problems nd need to divert my mnd I come here...,7,7,3,17,Ok
25 • Delhi,I m simple nd decent person.... I like to move around i'm a bit reserved type and can't understand me quickly,5,9,0,14,Ok
27 • Chālsa,"Supporting, loving, , trustworthy and ya fake and hookup, frnds with benifit wale fellows plz stay out from me .I really value friendship that is true. About love yaar dil tut gaya hai jb kiya tha payar but jb se khud se karna Lage I m loving it ❤️❤️baki I hope everyone fit and fine",48,37,33,118,Ok
22 • New Delhi,"Hie..📚🌸🖌️❤️...

I m Ruhani..Its my new account...I m college student of bcom final year📚 and working as content writter(blogg,article& poetry writter)🖌️...my part time professional is makeup artist(Bridals makeover)💄(Birthday-26th December)😋Loves-Cooking, chocolates lover🍫 long drive, Punjabi movies,Dogs lover,,,write shayri and like make new friends and here for friendship and long term relations only....!!!!!🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸",6,9,0,15,Ok
28 • Bhatinda,....,10,10,89,109,Ok
22 • New Delhi,Ig : andreea_diana1912,43,15,300,358,Ok
26 • Lucknow,..,8,11,2,21,Low Info
23 • Delhi,"A good listener and a better story teller.
Not looking for a perfect someone, just here for a new experience.",6,9,0,15,Ok
28 • New Delhi,"Hello Monseir,
How about we check out commen interest and talk_along!! Ohh wait we can try to connect either way as you may ignore same interest but being with better person must be the priority. 😌",21,16,4,41,Ok
28 • Delhi,"I would describe my self as an honest person, genuine, hardworking & easy to get along",8,11,0,19,Ok
26 • Pithorāgarh,"Jindgi ke mahaul main koi khas ho
Jiske sath hone ka ik alg aihsas ho
Dikhate to hain aasman main bahut se sirate
Vo jo mere sabse pas ho ... # true 😊",19,26,2,47,Ok
"24 • Palletuttiripitiya, Sri Lanka",Welcome to my profile 🤭,6,7,0,13,Low Info
"24 • Colombo, Sri Lanka",🎶,5,8,0,13,Low Info
26 • New Delhi,.,27,15,97,139,Ok
26 • Delhi,...,7,7,1,15,Low Info
27 • Delhi,An old school soul 🍂,78,34,79,191,Ok
27 • Delhi,"If you wear uniform and in forces… yes,we can connect!",6,9,0,15,Ok
21 • Kolkata,A person with a lot of dreams 🦋🦋,5,10,0,15,Ok
23 • Haryāna,"I'm from Delhi but I'm living in Gurgaon and I'm fashion designer
I'm looking for pata nhi 🤔
Ha but koi acha insaan mila toh I can marry with him 🤗🤭
Please fake people's keep away
Please don't àsk me how are you 🤮
And what are you doing also
This words are so so so boring for me 😅",4,17,0,21,Ok
23 • Hyderābād,iam searching good man for dating,5,10,0,15,Low Info
